[  UNIXTIME  | DATE                            ] RUSER         PID LEVEL  :: TYPE         : MESSAGE
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 INFO   :: START        : Parsed  Args: info
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 329 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1527099314 | Wed, 23 May 2018 13:15:14 -0500 ]             29443 INFO   :: START        : Command line: sak-cli info
[ 1527099314 | Wed, 23 May 2018 13:15:14 -0500 ]             29443 INFO   :: START        : Working dir: /home/holyshovel/public_html/drupal.holyshovel.com
[ 1527099314 | Wed, 23 May 2018 13:15:14 -0500 ]             29443 INFO   :: START        : Parsed  Args: info
[ 1527099315 | Wed, 23 May 2018 13:15:15 -0500 ]             29443 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 329 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1527099315 | Wed, 23 May 2018 13:15:15 -0500 ]             29443 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1527099342 | Wed, 23 May 2018 13:15:42 -0500 ]             29481 INFO   :: START        : Command line: sak-cli info
[ 1527099342 | Wed, 23 May 2018 13:15:42 -0500 ]             29481 INFO   :: START        : Working dir: /home/holyshovel/site.holyshovel.com
[ 1527099342 | Wed, 23 May 2018 13:15:42 -0500 ]             29481 INFO   :: START        : Parsed  Args: info
[ 1527099342 | Wed, 23 May 2018 13:15:42 -0500 ]             29481 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 329 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1527099342 | Wed, 23 May 2018 13:15:42 -0500 ]             29481 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1537498120 | Thu, 20 Sep 2018 21:48:40 -0500 ]              2098 INFO   :: START        : Command line: sak-cli --help
[ 1537498120 | Thu, 20 Sep 2018 21:48:40 -0500 ]              2098 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498120 | Thu, 20 Sep 2018 21:48:40 -0500 ]              2098 INFO   :: START        : Parsed  Args: --help
[ 1537498120 | Thu, 20 Sep 2018 21:48:40 -0500 ]              2098 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1537498249 | Thu, 20 Sep 2018 21:50:49 -0500 ]              2149 INFO   :: START        : Command line: sak-cli info
[ 1537498249 | Thu, 20 Sep 2018 21:50:49 -0500 ]              2149 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498249 | Thu, 20 Sep 2018 21:50:49 -0500 ]              2149 INFO   :: START        : Parsed  Args: info
[ 1537498250 | Thu, 20 Sep 2018 21:50:50 -0500 ]              2149 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 329 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1537498250 | Thu, 20 Sep 2018 21:50:50 -0500 ]              2149 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1537498266 | Thu, 20 Sep 2018 21:51:06 -0500 ]              2192 INFO   :: START        : Command line: sak-cli --help
[ 1537498266 | Thu, 20 Sep 2018 21:51:06 -0500 ]              2192 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498266 | Thu, 20 Sep 2018 21:51:06 -0500 ]              2192 INFO   :: START        : Parsed  Args: --help
[ 1537498266 | Thu, 20 Sep 2018 21:51:06 -0500 ]              2192 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1537498283 | Thu, 20 Sep 2018 21:51:23 -0500 ]              2219 INFO   :: START        : Command line: sak-cli jos --help
[ 1537498283 | Thu, 20 Sep 2018 21:51:23 -0500 ]              2219 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498283 | Thu, 20 Sep 2018 21:51:23 -0500 ]              2219 INFO   :: START        : Parsed  Args: jos --help
[ 1537498283 | Thu, 20 Sep 2018 21:51:23 -0500 ]              2219 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1537498349 | Thu, 20 Sep 2018 21:52:29 -0500 ]              2253 INFO   :: START        : Command line: sak-cli jos info
[ 1537498349 | Thu, 20 Sep 2018 21:52:29 -0500 ]              2253 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498349 | Thu, 20 Sep 2018 21:52:29 -0500 ]              2253 INFO   :: START        : Parsed  Args: jos info
[ 1537498349 | Thu, 20 Sep 2018 21:52:29 -0500 ]              2253 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 325 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1537498349 | Thu, 20 Sep 2018 21:52:29 -0500 ]              2253 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1537498446 | Thu, 20 Sep 2018 21:54:06 -0500 ]              2372 INFO   :: START        : Command line: sak-cli jos info
[ 1537498446 | Thu, 20 Sep 2018 21:54:06 -0500 ]              2372 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498446 | Thu, 20 Sep 2018 21:54:06 -0500 ]              2372 INFO   :: START        : Parsed  Args: jos info
[ 1537498446 | Thu, 20 Sep 2018 21:54:06 -0500 ]              2372 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 325 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1537498446 | Thu, 20 Sep 2018 21:54:06 -0500 ]              2372 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1537498489 | Thu, 20 Sep 2018 21:54:49 -0500 ]              2416 INFO   :: START        : Command line: sak-cli jos replace
[ 1537498489 | Thu, 20 Sep 2018 21:54:49 -0500 ]              2416 INFO   :: START        : Working dir: /home/holyshovel/joomla.holyshovel.com
[ 1537498489 | Thu, 20 Sep 2018 21:54:49 -0500 ]              2416 INFO   :: START        : Parsed  Args: jos replace
[ 1537498489 | Thu, 20 Sep 2018 21:54:49 -0500 ]              2416 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 325 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1537498489 | Thu, 20 Sep 2018 21:54:49 -0500 ]              2416 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1537498618 | Thu, 20 Sep 2018 21:56:58 -0500 ]              2482 INFO   :: START        : Command line: sak-cli info
[ 1537498618 | Thu, 20 Sep 2018 21:56:58 -0500 ]              2482 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1537498618 | Thu, 20 Sep 2018 21:56:58 -0500 ]              2482 INFO   :: START        : Parsed  Args: info
[ 1537498619 | Thu, 20 Sep 2018 21:56:59 -0500 ]              2482 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1539716175 | Tue, 16 Oct 2018 13:56:15 -0500 ] dbiniek     21840 INFO   :: START        : Command line: sak 
[ 1539716175 | Tue, 16 Oct 2018 13:56:15 -0500 ] dbiniek     21840 INFO   :: START        : Working dir: /home/holyshovel/public_html
[ 1539716175 | Tue, 16 Oct 2018 13:56:15 -0500 ] dbiniek     21840 INFO   :: START        : Parsed  Args: 
[ 1539716176 | Tue, 16 Oct 2018 13:56:16 -0500 ] dbiniek     21840 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 235 sak_add_targets /root/bin/sak
[ 1539716176 | Tue, 16 Oct 2018 13:56:16 -0500 ] dbiniek     21840 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak
[ 1539716188 | Tue, 16 Oct 2018 13:56:28 -0500 ] dbiniek     21872 INFO   :: START        : Command line: sak 
[ 1539716188 | Tue, 16 Oct 2018 13:56:28 -0500 ] dbiniek     21872 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1539716188 | Tue, 16 Oct 2018 13:56:28 -0500 ] dbiniek     21872 INFO   :: START        : Parsed  Args: 
[ 1539716188 | Tue, 16 Oct 2018 13:56:28 -0500 ] dbiniek     21872 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 235 sak_add_targets /root/bin/sak
[ 1539716188 | Tue, 16 Oct 2018 13:56:28 -0500 ] dbiniek     21872 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak
[ 1539716193 | Tue, 16 Oct 2018 13:56:33 -0500 ] dbiniek     21903 INFO   :: START        : Command line: sak -u holyshovel
[ 1539716193 | Tue, 16 Oct 2018 13:56:33 -0500 ] dbiniek     21903 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1539716193 | Tue, 16 Oct 2018 13:56:33 -0500 ] dbiniek     21903 WARN   :: EXIT         : Script exit. Caller = 1 main /root/bin/sak
[ 1542160947 | Tue, 13 Nov 2018 20:02:27 -0600 ]             18962 INFO   :: START        : Command line: sak-cli wp plugin
[ 1542160947 | Tue, 13 Nov 2018 20:02:27 -0600 ]             18962 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542160947 | Tue, 13 Nov 2018 20:02:27 -0600 ]             18962 INFO   :: START        : Parsed  Args: wp plugin
[ 1542160949 | Tue, 13 Nov 2018 20:02:29 -0600 ]             18962 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542160962 | Tue, 13 Nov 2018 20:02:42 -0600 ]             19032 INFO   :: START        : Command line: sak-cli wp plugin disable wp-super-cache/wp-cache.php
[ 1542160962 | Tue, 13 Nov 2018 20:02:42 -0600 ]             19032 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542160962 | Tue, 13 Nov 2018 20:02:42 -0600 ]             19032 INFO   :: START        : Parsed  Args: wp plugin disable wp-super-cache/wp-cache.php
[ 1542160963 | Tue, 13 Nov 2018 20:02:43 -0600 ]             19032 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542160991 | Tue, 13 Nov 2018 20:03:11 -0600 ]             19140 INFO   :: START        : Command line: sak-cli wp plugin disable wp-super-cache/wp-cache.php
[ 1542160991 | Tue, 13 Nov 2018 20:03:11 -0600 ]             19140 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542160991 | Tue, 13 Nov 2018 20:03:11 -0600 ]             19140 INFO   :: START        : Parsed  Args: wp plugin disable wp-super-cache/wp-cache.php
[ 1542160993 | Tue, 13 Nov 2018 20:03:13 -0600 ]             19140 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542161067 | Tue, 13 Nov 2018 20:04:27 -0600 ]             19300 INFO   :: START        : Command line: sak-cli wp plugin disable autoptimize/autoptimize.php
[ 1542161067 | Tue, 13 Nov 2018 20:04:27 -0600 ]             19300 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542161067 | Tue, 13 Nov 2018 20:04:27 -0600 ]             19300 INFO   :: START        : Parsed  Args: wp plugin disable autoptimize/autoptimize.php
[ 1542161068 | Tue, 13 Nov 2018 20:04:28 -0600 ]             19300 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162694 | Tue, 13 Nov 2018 20:31:34 -0600 ]             20888 INFO   :: START        : Command line: sak-cli wp plugin
[ 1542162694 | Tue, 13 Nov 2018 20:31:34 -0600 ]             20888 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162694 | Tue, 13 Nov 2018 20:31:34 -0600 ]             20888 INFO   :: START        : Parsed  Args: wp plugin
[ 1542162695 | Tue, 13 Nov 2018 20:31:35 -0600 ]             20888 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162716 | Tue, 13 Nov 2018 20:31:56 -0600 ]             20960 INFO   :: START        : Command line: sak-cli wp plugin enable wp-super-cache/wp-cache.php autoptimize/autoptimize.php
[ 1542162716 | Tue, 13 Nov 2018 20:31:56 -0600 ]             20960 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162716 | Tue, 13 Nov 2018 20:31:56 -0600 ]             20960 INFO   :: START        : Parsed  Args: wp plugin enable wp-super-cache/wp-cache.php autoptimize/autoptimize.php
[ 1542162720 | Tue, 13 Nov 2018 20:32:00 -0600 ]             20960 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162730 | Tue, 13 Nov 2018 20:32:10 -0600 ]             21065 INFO   :: START        : Command line: sak-cli wp plugin enable theme-check/theme-check.php
[ 1542162730 | Tue, 13 Nov 2018 20:32:10 -0600 ]             21065 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162730 | Tue, 13 Nov 2018 20:32:10 -0600 ]             21065 INFO   :: START        : Parsed  Args: wp plugin enable theme-check/theme-check.php
[ 1542162731 | Tue, 13 Nov 2018 20:32:11 -0600 ]             21065 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162739 | Tue, 13 Nov 2018 20:32:19 -0600 ]             21164 INFO   :: START        : Command line: sak-cli wp theme
[ 1542162739 | Tue, 13 Nov 2018 20:32:19 -0600 ]             21164 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162739 | Tue, 13 Nov 2018 20:32:19 -0600 ]             21164 INFO   :: START        : Parsed  Args: wp theme
[ 1542162740 | Tue, 13 Nov 2018 20:32:20 -0600 ]             21164 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162751 | Tue, 13 Nov 2018 20:32:31 -0600 ]             21234 INFO   :: START        : Command line: sak-cli wp info
[ 1542162751 | Tue, 13 Nov 2018 20:32:31 -0600 ]             21234 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162751 | Tue, 13 Nov 2018 20:32:31 -0600 ]             21234 INFO   :: START        : Parsed  Args: wp info
[ 1542162752 | Tue, 13 Nov 2018 20:32:32 -0600 ]             21234 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162915 | Tue, 13 Nov 2018 20:35:15 -0600 ]             21473 INFO   :: START        : Command line: sak-cli wp plugin --help
[ 1542162915 | Tue, 13 Nov 2018 20:35:15 -0600 ]             21473 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162915 | Tue, 13 Nov 2018 20:35:15 -0600 ]             21473 INFO   :: START        : Parsed  Args: wp plugin --help
[ 1542162915 | Tue, 13 Nov 2018 20:35:15 -0600 ]             21473 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1542162945 | Tue, 13 Nov 2018 20:35:45 -0600 ]             21500 INFO   :: START        : Command line: sak-cli wp plugins test
[ 1542162945 | Tue, 13 Nov 2018 20:35:45 -0600 ]             21500 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1542162945 | Tue, 13 Nov 2018 20:35:45 -0600 ]             21500 INFO   :: START        : Parsed  Args: wp plugins test
[ 1542162980 | Tue, 13 Nov 2018 20:36:20 -0600 ]             21500 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1543928765 | Tue,  4 Dec 2018 07:06:05 -0600 ] dbiniek     30776 INFO   :: START        : Command line: sak-cli wp info
[ 1543928765 | Tue,  4 Dec 2018 07:06:05 -0600 ] dbiniek     30776 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1543928765 | Tue,  4 Dec 2018 07:06:05 -0600 ] dbiniek     30776 INFO   :: START        : Parsed  Args: wp info
[ 1543928773 | Tue,  4 Dec 2018 07:06:13 -0600 ] dbiniek     30776 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1543928798 | Tue,  4 Dec 2018 07:06:38 -0600 ] dbiniek     30989 INFO   :: START        : Command line: sak-cli wp diff
[ 1543928798 | Tue,  4 Dec 2018 07:06:38 -0600 ] dbiniek     30989 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1543928798 | Tue,  4 Dec 2018 07:06:38 -0600 ] dbiniek     30989 INFO   :: START        : Parsed  Args: wp diff
[ 1543928861 | Tue,  4 Dec 2018 07:07:41 -0600 ] dbiniek     30989 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli_diff /root/bin/.sak/modules/cli
[ 1548856940 | Wed, 30 Jan 2019 08:02:20 -0600 ] dbiniek     27662 INFO   :: START        : Command line: sak-cli wp info
[ 1548856940 | Wed, 30 Jan 2019 08:02:20 -0600 ] dbiniek     27662 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1548856940 | Wed, 30 Jan 2019 08:02:20 -0600 ] dbiniek     27662 INFO   :: START        : Parsed  Args: wp info
[ 1548856950 | Wed, 30 Jan 2019 08:02:30 -0600 ] dbiniek     27662 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1548856960 | Wed, 30 Jan 2019 08:02:40 -0600 ] dbiniek     27828 INFO   :: START        : Command line: sak-cli wp plugins install help
[ 1548856960 | Wed, 30 Jan 2019 08:02:40 -0600 ] dbiniek     27828 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1548856960 | Wed, 30 Jan 2019 08:02:40 -0600 ] dbiniek     27828 INFO   :: START        : Parsed  Args: wp plugins install help
[ 1548856960 | Wed, 30 Jan 2019 08:02:40 -0600 ] dbiniek     27828 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1548856967 | Wed, 30 Jan 2019 08:02:47 -0600 ] dbiniek     27855 INFO   :: START        : Command line: sak-cli wp plugins install jetpack
[ 1548856967 | Wed, 30 Jan 2019 08:02:47 -0600 ] dbiniek     27855 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1548856967 | Wed, 30 Jan 2019 08:02:47 -0600 ] dbiniek     27855 INFO   :: START        : Parsed  Args: wp plugins install jetpack
[ 1548856969 | Wed, 30 Jan 2019 08:02:49 -0600 ] dbiniek     27855 ERROR  :: SAK_FATAL    : sak_fatal_backtrace called. Caller = 379 sak_wp_plugins_install /root/bin/.sak/modules/soft/wordpress/main
[ 1548856969 | Wed, 30 Jan 2019 08:02:49 -0600 ] dbiniek     27855 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal_backtrace /root/bin/sak-cli
[ 1548857000 | Wed, 30 Jan 2019 08:03:20 -0600 ] dbiniek     27956 INFO   :: START        : Command line: sak-cli wp plugins install jetpack
[ 1548857000 | Wed, 30 Jan 2019 08:03:20 -0600 ] dbiniek     27956 INFO   :: START        : Working dir: /home/holyshovel/blog
[ 1548857000 | Wed, 30 Jan 2019 08:03:20 -0600 ] dbiniek     27956 INFO   :: START        : Parsed  Args: wp plugins install jetpack
[ 1548857001 | Wed, 30 Jan 2019 08:03:21 -0600 ] dbiniek     27956 ERROR  :: SAK_FATAL    : sak_fatal_backtrace called. Caller = 379 sak_wp_plugins_install /root/bin/.sak/modules/soft/wordpress/main
